Prefix	Name	Origin	Owner		
BVNU		IT	Beneventi S.r.l.		

BWCU	bay	DE	Bay Internationale Chemiespedition		

BWLU		SG	Blue Water Lines Pte. Ltd.		

BWPU		DE	Logistikzentrum der Bundeswehr		

BWTU		NL	Damen Green Solutions BV.		

BXDU		DE	BoxDirect AG.		

BXLU		IT	Sicom SpA.		

BXNU	boxman	NZ	Boxman (New Zealand) Ltd.		

BXRU	boxtainer	GB	Titan Arcticstore A/S.		

BXSU	blue express	CN	Blue Express (Shanghai) Intl. Freight Forwarding Co., Ltd.		

BXUU		NZ	Boxman (New Zealand) Ltd.		

BXXU		NZ	Boxman (New Zealand) Ltd.		

BYMU		EE	Rodelinda PLC.		

BYRU		AE	Byrne Equipment Rental LLC.		

BZTU		NL	Box2Trade BV.
CAAU	cai	US	CAI International Inc.		

CABU		IN	Chakiat Agencies Pvt. Ltd.		

CADU	ccl	DK	Maersk Line A/S		

CAEU		NL	CARU Containers BV.		

CAFU		IT	Cisaf Srl.		

CAIU	cai	US	CAI International Inc.		

CAKM	teckcominco	CA	Teck Mining Company Ltd.		

CAKU	camellia line	JP	Camellia Line Co., Ltd.		

CAMU	mpca	US	MGC Pure Chemicals America Inc.		

CAMU	camellia line	JP	Camellia Line Co., Ltd.		

CANU	modcan	CA	Modcan Solutions / Asher Bentley Holdings		

CAPU		GB	Cape Container Line (UK) Ltd.		

CARU	carburos	ES	Carburos Metalicos		

CARU	caru	NL	CARU Containers BV.		

CARU	carim	JP	Carim Engineering Corporation		

CASU	cast	DE	Hapag Lloyd AG. (ex Cast Group)		

CATU		NL	CARU Containers BV.		

CAUU		DK	Campas Containers		

CAXU	cai	US	CAI International Inc.		

CAZU	cai	US	CAI International Inc.		

CBCU		GB	Container Brokerage Company Ltd.		

CBFU	chiquita	US	Chiquita Brands International		

CBGU		HT	Carbogaz S.A.		

CBHU	cosco	HK	Florens Container Services Co., Ltd.		

CBIU		US	Chicago Bridge & Iron Company NV.		

CBKU		BY	Belaruskali JSC.		

CBLU	pan star				

CBLU	cbox	NL	CBox Containers BV.		

CBMU		RU	ContLease		

CBNU		FR	Cubner S.A.S.		

CBOU		SR	Cobo Construction NV.		

CBPU	cbsl	US	CBSL Transportation Services Ltd.		

CBRU	cbr	DE	Cölner Benzin Raffinerie Vertriebs GmbH.		

CBRU		AU	Canberra Containers		

CBTU		CH	Cont - Asphalt Ltd.		

CBXU	cbox	HK	CBOX Containers Asia Ltd.		

CCAU		CA	Cement Cartage Company Ltd.		

CCBU	colemans	AU	RJ. Coleman Transport Pty. Ltd.		

CCCU		DE	ConRail Container Survey & Sales GmbH.		

CCCU	colemans	AU	RJ. Coleman Transport Pty. Ltd.		

CCDU		DE	Conro Containers GmbH.		

CCEU		HK	Juntai International Container Co., Ltd.		

CCGU	catu	CH	Catu Containers S.A.		

CCHU	growhow	BE	Yara Tertre S.A/NV.		

CCIU	coogee chemicals	AU	Coogee Chemicals Pty. Ltd.		

CCLU	china shipping	HK	Cosco Shipping Development (Asia) Co., Ltd.		

CCMU		IT	Mercitalia Rail Srl.		

CCOU		US	A-Gas Americas (Refrigerants & Carbon Offsets)		

CCRU	ccr	NL	Eurotainer S.A.		

CCSU		DK	Servial CC. A/S.		

CCTU		GB	Craigs container company		

CCTU	colemans	AU	RJ. Coleman Transport Pty. Ltd.		

CCUU		PA	M/S Hikaru Line Inc.		

CCXU	ccr	FR	CCR S.A.S.		

CCYU		CY	Chimi Art (Cyprus) Ltd.		

CDAU	canadian tire	CA	Canadian Tire Co., Ltd.		

CDAU	cda	TR	CDA Lojistik A.S.		

